idStudent,firstNameStudent,lastNameStudent,address,city,phoneNumber,gender,DOB
31,Dakota,Wirth,23 Grafton Street,Dublin,35489785618,F,4/19/1985
32,Lauren,Klocker,68 Wellington Road,Dublin,35489785619,F,4/20/1985
33,Michael,Benson,24 Old County Road,Dublin,35489785620,M,4/21/1985
34,Sean,Rozga,77 O’Connell Street,Dublin,35489785621,M,4/22/1985
35,Cody,Vermeylen,102 Henry Street,Dún Laoghaire,3546546565,M,4/23/1985
36,Kinaana,al-Jamail,12 Parnell Street,Dún Laoghaire,5646546546,F,4/24/1985
37,Daniel,Garcia,27 Charles Stewart Parnell,Cork,4546768786,M,4/25/1985
38,Katrina,Saito,87 James Larkin,Luimneach,35467876886,F,4/26/1985
39,Joshua,Galloway,23 Grafton Street,Gaillimh,56468768765,M,4/27/1985
40,Aylin,Mendoza,68 Wellington Road,Tallaght,54,F,4/28/1985
41,Sharon,Fyfe,24 Old County Road,Tallaght,68786798786,F,4/29/1985
42,Afnaan,Williams,77 O’Connell Street,Dún Laoghaire,534879+79+83,F,4/30/1985
43,Jesse,Fukushima,102 Henry Street,Navan,787989745,F,5/1/1985
44,Kenny,Glaisher,12 Parnell Street,Ennis,465456678,M,5/2/1985
45,Tawnie,Stevens,27 Charles Stewart Parnell,Sligo,1234567879,F,5/3/1985
46,Britany,Trinh,87 James Larkin,Dún Laoghaire,65464564645,F,5/4/1985
47,Alan,Kern,23 Grafton Street,Cork,57897892,M,5/5/1985
48,Zoe,Beavers,68 Wellington Road,Luimneach,12348789,F,5/6/1985
49,Sidney,Aguilar,23 Grafton Street,Gaillimh,978456756,M,5/7/1985
50,Miriam,Garcia,23 Grafton Street,Tallaght,4657879878,F,5/8/1985
51,Issac Mata,Saito,23 Grafton Street,Dublin,4549787987,M,5/9/1985
52,Hannah Uren,Galloway,23 Grafton Street,Dublin,456787987,F,5/10/1985
53,Zachary Bradley,Mendoza,23 Grafton Street,Dublin,487987987897,M,5/11/1985
54,Moira Buttitto,Fyfe,23 Grafton Street,Dublin,65768786798,F,5/12/1985
55,Nicole,Humpal,23 Grafton Street,Dublin,556768787,F,5/13/1985
56,Georgia, Williams,12 Parnell Street,Cork,897988789,F,5/14/1985
57,Connor,Ferry,12 Parnell Street,Dún Laoghaire,97897455,M,5/15/1985
58,Amanda,Tatum,12 Parnell Street,Navan,35657876978,F,5/16/1985
59,Cameron,Diaz,12 Parnell Street,Ennis,4687987894,M,5/17/1985
60,Shuraih,Robinson,12 Parnell Street,Sligo,8676878646,M,5/18/1985
61,Katelyn,Ferry,12 Parnell Street,Dún Laoghaire,6768786484,F,5/19/1985
62,Colin,Abreu,12 Parnell Street,Dún Laoghaire,5468786798,M,5/20/1985
63,Donald,Versell,12 Parnell Street,Dublin,8498498489,M,5/21/1985
64,Macaela,Oliveira,102 Henry Street,Dublin,64864844,F,5/22/1985
65,Brittany,Riley,102 Henry Street,Dublin,6468786786,F,5/23/1985
66,Cameron,Maria,102 Henry Street,Dublin,343787678,M,5/24/1985
67,William,Jones,102 Henry Street,Dublin,654654646456,M,5/25/1985
68,Lindsey,Lohan,102 Henry Street,Dún Laoghaire,6465486468486,F,5/26/1985
69,Gabrielle,Santana,102 Henry Street,Dún Laoghaire,6546545645,F,5/27/1985
70,Allison,Jesus,93 York Street,Dún Laoghaire,6465445645,F,5/28/1985
71,Sheyenne,Jetsan,23 Stephen Street,Dún Laoghaire,3454644654,F,5/29/1985
72,Joseph,McOnagh,93 York Street,Swords,6465456465,M,5/30/1985
73,Fikra,Lara,23 Stephen Street,Dún Laoghaire,6456455464,F,5/31/1985
74,Aurelia,Davis Ingham,24 Old County Road,Swords,668786798786,F,6/1/1985
75,Taylor,Elstun,24 Old County Road,Swords,676878676,F,6/2/1985
76,Joseph,Snider,24 Old County Road,Dún Laoghaire,646867631351,M,6/3/1985
77,Sourinthone,Tran,93 York Street,Dún Laoghaire,133213213,M,6/4/1985
78,Ibrahim,Aluf,23 Stephen Street,Dublin,3133132564,M,6/5/1985
79,Alexandra,Levy,77 O’Connell Street,Dublin,646546464,F,6/6/1985
80,Macie,Nguyen,77 O’Connell Street,Dublin,4665465464,F,6/7/1985
81,Sean,Taylor,77 O’Connell Street,Dublin,65465468797,M,6/8/1985
82,Casey,Williams,77 O’Connell Street,Dublin,1312345454,M,6/9/1985
83,Staci,Evans,77 O’Connell Street,Cork,645646465,F,6/10/1985
84,Luke,Walker,77 O’Connell Street,Luimneach,5454787987987,M,6/11/1985
85,Harper,Scott,77 O’Connell Street,Gaillimh,64564688,F,6/12/1985
86,Sherleen,Cooper,77 O’Connell Street,Tallaght,4687879,F,6/13/1985
87,Myles,Cruz,77 O’Connell Street,Waterford,89897987987,M,6/14/1985
88,Juan ,Guerrero,77 O’Connell Street,Swords,97987984654653,M,6/15/1985
89,Lindsey,Freund,77 O’Connell Street,Drogheda,67879789,F,6/16/1985
90,Savannah,Clark,77 O’Connell Street,Dublin,4658787978,F,6/17/1985
91,Bradley,Monsell,93 York Street,Dublin,54648987989,M,6/18/1985
92,Daisha,Schmidt,23 Stephen Street,Dublin,79879879887,F,6/19/1985
93,Airabella,Gomez,85 Bride Street,Dublin,65467879798,F,6/20/1985
94,Hailey,Malle,85 Bride Street,Dublin,678979797,F,6/21/1985
95,Devon,Miranda,85 Bride Street,Dublin,9879879798,M,6/22/1985
96,Danielle,Pablo,85 Bride Street,Dublin,667897998778,F,6/23/1985
97,Mateo,Moreira,85 Bride Street,Dublin,9879887987,M,6/24/1985
98,William,Baker,85 Bride Street,Dublin,7898789798,M,6/25/1985
99,Jason,Jhon,85 Bride Street,Waterford,4564678,M,6/26/1985
100,Antonio,Alburquerque,85 Bride Street,Swords,646578678,M,6/27/1985
101,Rachel,Queiroz,85 Bride Street,Drogheda,112324678,F,6/28/1985
